Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
No action rate,p6vbd18i,42,Episode_Metrics/body_position_error,100,100,0.08344658382236958,0.0008324962449207242,0.08153697848320007,0.08537968248128891,0.08341730013489723,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/body_orientation_error,100,100,0.540357518196106,0.007269763826854107,0.5217819213867188,0.5623456239700317,0.5404485464096069,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/body_linear_velocity_error,100,100,0.8489778810739517,0.009095489209970916,0.82623291015625,0.8734731078147888,0.8481920957565308,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/body_angular_velocity_error,100,100,9.389617757797241,0.043430174691314355,9.273929595947266,9.55213451385498,9.38344669342041,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/action_rate_l2_raw,100,100,335.27831878662107,4.619078519669055,327.1985778808594,343.837890625,335.00025939941406,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/joint_limit_raw,100,100,0.00518954151077196,0.0006466678191927666,0.003832352114841342,0.007085843943059444,0.005092576378956437,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Metrics/self_collision_raw,100,100,0.0019054695952218025,0.002505724767693478,0.0006294904742389917,0.0254114530980587,0.0014778942568227649,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Termination/time_out,100,100,7.661666846275329,0.5660709812028574,6.583333492279053,9.708333969116211,7.625,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Termination/anchor_pos,100,100,0.239583340883255,0.10699035239783806,0.0416666679084301,0.5833333730697632,0.2083333432674408,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Termination/anchor_ori,100,100,0.0,0.0,0.0,0.0,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No action rate,p6vbd18i,42,Episode_Termination/ee_body_pos,100,100,0.8883333626389504,0.2092052520979806,0.4166666865348816,1.5833333730697632,0.875,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Train/mean_reward,100,100,7.2159966967020175,0.6849545753783496,5.874509932771325,9.11207206338644,7.104223933331669,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Train/mean_episode_length,100,100,204.93589999999998,17.326171311433214,170.5,252.21,201.83499999999998,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Policy/mean_std,100,100,0.42332764238119125,0.0008508650979840812,0.4219017028808594,0.42460304498672485,0.42358551919460297,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/root_position_error,100,100,0.3257980334758759,0.008399225902499034,0.30641308426856995,0.3409769535064697,0.32560719549655914,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/root_orientation_error,100,100,0.1785693347454071,0.0029349374797911967,0.1713988035917282,0.18567173182964325,0.17843732237815857,900.0,999.0,Temporal SD within one run; not cross-seed SD
