motion_name,method,body_name,global_position_error_mean,root_relative_position_error_mean,scale_normalised_position_error_mean,motion_range_difference,body_orientation_error_mean_deg,body_orientation_error_max_deg,body_or_pair,metric,value
113_21,direct_mapping,right_hand,1.5793420662546502,0.20549879674350321,0.3332950870061606,0.1514200658235847,,,,,
113_21,direct_mapping,left_hip,2.0709342894043816,0.1779587565428441,0.1087767332337571,0.17322460848663088,,,,,
113_21,direct_mapping,right_hip,1.9285854251584624,0.16217470255793545,0.12099634659587193,0.17701538522300592,,,,,
113_21,direct_mapping,left_knee,2.17327784874638,0.18842872691774476,0.11715209644699243,0.07920301792803534,,,,,
113_21,direct_mapping,right_knee,1.830034832512563,0.16066322876391081,0.12703568415384522,0.20874793763836294,,,,,
113_21,direct_mapping,left_foot,2.099626984873323,0.16656549961399378,0.14249120248288885,0.38407555071591576,,,,,
113_21,direct_mapping,right_foot,1.7667891862352905,0.12243076349983113,0.13740693827917178,0.35523346200776273,,,,,
113_21,direct_mapping,pelvis/root,,,,,8.624027591112075,14.909677546317662,,,
113_21,direct_mapping,torso,,,,,8.77588218599701,15.33068391428833,,,
113_21,direct_mapping,left_foot,,,,,8.929603299037144,16.578545176772206,,,
113_21,direct_mapping,right_foot,,,,,8.592965276466158,14.015392967828808,,,
113_21,direct_mapping,left_hand,,,,,28.518589627033656,38.11707494173329,,,
113_21,direct_mapping,right_hand,,,,,11.266224751375379,17.606290503447422,,,
113_21,basic_ik,pelvis/root,2.0022806774807456,0.1700146246255626,0.04786652713278692,0.013342240040494172,,,,,
113_21,basic_ik,torso,2.0477884576033727,0.4383509212734006,0.15900350842213978,0.013824911694213123,,,,,
113_21,basic_ik,head,2.0322998769608565,0.3593054685411218,0.03637977950301978,0.0351413719397377,,,,,
113_21,basic_ik,left_shoulder,2.101306538685074,0.27210781498168335,0.06943584368828867,0.022842592807886572,,,,,
113_21,basic_ik,right_shoulder,1.9420322010896196,0.2769229263337961,0.06437154648051557,0.00965762732692645,,,,,
113_21,basic_ik,left_elbow,2.0250710132170506,0.21047908955020933,0.07730309552496507,0.027155573012921812,,,,,
113_21,basic_ik,right_elbow,1.9732112459030589,0.19064480779594223,0.06168666931095596,0.007901900939575499,,,,,
113_21,basic_ik,left_hand,2.034545361273647,0.1861847259225808,0.04086489355123522,0.019345748758024844,,,,,
113_21,basic_ik,right_hand,1.9796067128495671,0.18592342687040342,0.05142438442099174,0.0030289656280621056,,,,,
113_21,basic_ik,left_hip,2.000406478789595,0.16059712130644244,0.05296946091107138,0.024077892352240633,,,,,
113_21,basic_ik,right_hip,2.0118622848354843,0.15559030410075494,0.064193239475225,0.03135183244520133,,,,,
113_21,basic_ik,left_knee,2.030795091943151,0.13156705808005967,0.04347747365510666,0.030959180245972454,,,,,
113_21,basic_ik,right_knee,1.976104599344158,0.1296993724565477,0.038987182406418,0.06580105510488923,,,,,
113_21,basic_ik,left_foot,2.025761187569192,0.05781087714714072,0.036361011391359076,0.008496608981118993,,,,,
113_21,basic_ik,right_foot,1.969704958113316,0.05427453352198449,0.040479380903427384,0.005186159521900408,,,,,
113_21,basic_ik,pelvis/root,,,,,22.669692866062572,30.944196009478063,,,
113_21,basic_ik,torso,,,,,6.095841950769687,8.202784287959012,,,
113_21,basic_ik,left_foot,,,,,96.24784125836302,179.54399896768737,,,
113_21,basic_ik,right_foot,,,,,57.03439898961504,173.7572597371446,,,
113_21,basic_ik,left_hand,,,,,35.24287067277584,82.0949134135391,,,
113_21,basic_ik,right_hand,,,,,15.109381136970566,60.15474236249334,,,
113_21,basic_ik,,,,,,,,right_hip_roll_link | right_wrist_pitch_link,self_collision_frame_count,107.0
