motion_name,method,joint_name,maximum_velocity_rad_s,maximum_acceleration_rad_s2,mean_jerk_rad_s3,maximum_jerk_rad_s3,joint_limit_violation_count,joint_limit_maximum_violation_rad
111_23,basic_ik,right_shoulder_pitch_joint,6.184761989330964,164.03251886870288,116.90724993420845,2067.0408800777177,0,0.0
111_23,basic_ik,right_shoulder_roll_joint,1.3543699291699578,17.493143286132884,77.77511215295416,324.3597097804716,0,0.0
111_23,basic_ik,right_shoulder_yaw_joint,10.51608888297358,140.27991706709045,313.1310355367562,3460.6609266741525,0,0.0
111_23,basic_ik,right_elbow_joint,5.289198011061152,131.49807273405486,177.7357417660288,1793.650942590155,0,0.0
111_23,basic_ik,right_wrist_roll_joint,1.8139055717095702,39.89136390128043,119.71046732539656,1028.1958085143576,0,0.0
111_23,basic_ik,right_wrist_pitch_joint,9.147227557124141,288.28451166998343,356.52540171454,3912.95024997811,0,0.0
111_23,basic_ik,right_wrist_yaw_joint,1.6361942619756252e-10,2.623311492499352e-09,6.164407665415945e-09,7.706856346929563e-08,0,0.0
111_23,gmr,left_hip_pitch_joint,4.031165025260427,39.58864333092661,128.5275933690104,774.4102775960101,0,0.0
111_23,gmr,left_hip_roll_joint,1.8285598137527135,27.65987427519947,126.02705228556559,470.1215185451042,0,0.0
111_23,gmr,left_hip_yaw_joint,5.091790238549128,79.1744418835835,168.36982702261048,1104.0389137304787,0,0.0
111_23,gmr,left_knee_joint,4.908404950121062,61.739561325054055,255.11414871099478,996.1012155484793,0,0.0
111_23,gmr,left_ankle_pitch_joint,4.372289110817174,75.55995070435036,277.68454343633704,1871.3726867641124,0,0.0
111_23,gmr,left_ankle_roll_joint,2.2636403463581147,45.39629001287149,153.7569381256869,1056.2931333752158,0,0.0
111_23,gmr,right_hip_pitch_joint,4.145267148471489,41.994297910797535,136.51289041679135,920.0730350765064,0,0.0
111_23,gmr,right_hip_roll_joint,1.605968545506766,30.5234085826642,121.909680942224,718.3281621992666,0,0.0
111_23,gmr,right_hip_yaw_joint,6.835554617437226,87.51533767786084,148.5981102916009,1282.9489989439996,0,0.0
111_23,gmr,right_knee_joint,5.442997415651369,64.39808327879794,257.1526785258458,1112.7403523874448,0,0.0
111_23,gmr,right_ankle_pitch_joint,5.450494835850186,102.00105174894932,315.3691511186975,2365.877513436042,0,0.0
111_23,gmr,right_ankle_roll_joint,2.071650615200957,39.52796775080693,146.98218161389562,922.8582404247005,0,0.0
111_23,gmr,waist_yaw_joint,1.82705219571672,24.56999161289026,119.29752367370355,584.6975847963774,0,0.0
111_23,gmr,waist_roll_joint,2.594154704729572,29.130795188380286,94.82917476676323,494.1162350003932,0,0.0
111_23,gmr,waist_pitch_joint,1.2609012708855762,17.095574374213147,82.14071608887599,386.1876622877723,0,0.0
