method,metric,label,unit,direction,valid_motion_count,mean,median,standard_deviation,minimum,maximum,p95,confidence_interval_95_lower,confidence_interval_95_upper,total_motion_count,successful_motion_count,failed_motion_count,success_rate
basic_ik,root_relative_position_error_median,Root Relative Position Error Median,,lower,9,0.5419125547291175,0.5045274367328247,0.37153407526027593,0.08618476672763511,1.2620026717773476,1.1139628896770501,0.25632618342263347,0.8274989260356015,9,0,9,0.0
basic_ik,root_relative_position_error_std,Root Relative Position Error Std,,lower,9,0.2974060672743539,0.16920226728185173,0.2860962910701798,0.06682700337500969,0.9848114385287265,0.7490902041813083,0.07749299051621747,0.5173191440324904,9,0,9,0.0
basic_ik,root_relative_position_error_max,Root Relative Position Error Max,,lower,9,1.1944206440611937,0.9612076998393823,0.9548999766267793,0.2854776136071323,3.3343972834553663,2.772228680108337,0.46041954579195565,1.928421742330432,9,0,9,0.0
basic_ik,root_relative_position_error_p95,Root Relative Position Error P95,,lower,9,1.0628557800881768,0.8303640716558804,0.8480110995694796,0.27558822713381853,2.988868770153875,2.457419774134704,0.41101674598609306,1.7146948141902607,9,0,9,0.0
basic_ik,scale_normalised_position_error_median,Scale Normalised Position Error Median,,lower,9,0.32553327457262754,0.13445565819678013,0.36387648828915176,0.04324246084939513,1.0594540538344746,0.9457064285059933,0.04583304567317614,0.6052335034720789,9,0,9,0.0
basic_ik,scale_normalised_position_error_std,Scale Normalised Position Error Std,,lower,9,0.19936483598947358,0.06178440043344334,0.27157429166539115,0.02721828251384126,0.8565298096179881,0.6560982023592512,-0.00938564387570448,0.40811531585465166,9,0,9,0.0
basic_ik,scale_normalised_position_error_max,Scale Normalised Position Error Max,,lower,9,0.7604353006317144,0.2604082905081118,0.9243966762946628,0.11588536116939491,2.8365141903211275,2.380124826597328,0.04988111459688804,1.4709894866665407,9,0,9,0.0
basic_ik,scale_normalised_position_error_p95,Scale Normalised Position Error P95,,lower,9,0.6701198199430116,0.20691554126813727,0.8246107116682123,0.10569976805217873,2.5421921962482967,2.1044193472312234,0.03626791626282899,1.3039717236231942,9,0,9,0.0
basic_ik,end_effector_error_median,End Effector Error Median,,lower,9,0.31868498896027836,0.12387329959108061,0.37135671315528734,0.027366812520172333,1.0632744007264479,0.9480580547626521,0.03323495023630507,0.6041350276842516,9,0,9,0.0
basic_ik,end_effector_error_std,End Effector Error Std,,lower,9,0.19878221736696192,0.06029015366198258,0.2754889572953662,0.014601230576620959,0.8603765820049559,0.6633838538296499,-0.012977340875104215,0.41054177560902805,9,0,9,0.0
basic_ik,end_effector_error_max,End Effector Error Max,,lower,9,0.7346540554147073,0.2133596241512553,0.9420120060697059,0.07548660406083174,2.8365141903211275,2.380124826597328,0.010559528278469399,1.4587485825509452,9,0,9,0.0
basic_ik,end_effector_error_p95,End Effector Error P95,,lower,9,0.6568928010392523,0.19898442035914188,0.8385700947313017,0.06322943170332321,2.537605612121888,2.1124425574794463,0.012310765669608759,1.3014748364088957,9,0,9,0.0
